ID,TYPE,NAME,LATITUDE,LONGITUDE,COUNTRY,REGION
9868,small_airport,Murmuring Springs Airport,44,-90,US,US-WI
9869,small_airport,Cunningham Airport,45,-90,US,US-WI
9870,small_airport,Planeacres Airport,44,-89,US,US-WI
45927,small_airport,Oshkosh Sky Ranch Airport,44,-89,US,US-WI
45921,small_airport,C. R. Acres Airport,44,-88,US,US-WI
9872,heliport,Louis A. Johnson Va Medical Center Heliport,39,-80,US,US-WV
9873,small_airport,Hales Landing Airport,39,-81,US,US-WV
9874,small_airport,Willow Bend Airport,38,-81,US,US-WV
9875,heliport,West Virginia State Police Heliport,40,-81,US,US-WV
9914,heliport,Florida Hospital Lake Placid Heliport,27,-81,US,US-FL
9915,heliport,City of Fort Lauderdale Heliport,26,-80,US,US-FL
9916,heliport,Columbia Putnam Community Hospital Heliport,30,-82,US,US-FL
9917,small_airport,Elliott Field,34,-84,US,US-GA
9918,heliport,Reid Hospital Heliport,40,-85,US,US-IN
9919,heliport,Clay County Hospital Heliport,39,-88,US,US-IL
9920,small_airport,Wigent Airport,41,-85,US,US-IN
9921,small_airport,Aero Lake Estates Airport,42,-89,US,US-IL
9923,heliport,Wayne County Hospital Heliport,37,-85,US,US-KY
9924,seaplane_base,Venice Base Heliport & Seaplane Base,29,-89,US,US-LA
9925,small_airport,Williams Airpark,40,-90,US,US-IL
9927,small_airport,Tunica Airport,35,-90,US,US-MS
9928,heliport,Clinton Hospital Heliport,42,-72,US,US-MA
9929,small_airport,Wolverton's Field,42,-86,US,US-MI
9931,small_airport,Happy Bottom Airport,36,-80,US,US-NC
9933,heliport,Hillside Farm Heliport,40,-75,US,US-NJ
9934,small_airport,Coye Field,43,-78,US,US-NY
9935,heliport,Bahl Helistop,41,-83,US,US-OH
9938,small_airport,Kings Airport,40,-75,US,US-PA
45762,heliport,Pittsburgh Children'S Hospital Heliport,40,-80,US,US-PA
9943,heliport,Clinch Valley Medical Center Heliport,37,-82,US,US-VA
9944,seaplane_base,Sweetwater Bay Seaplane Base,45,-88,US,US-WI
9946,small_airport,Chambers Island Airport,45,-87,US,US-WI
9948,small_airport,Sugar Valley Airport,36,-81,US,US-NC
45338,heliport,Quiet Corner Heliport,42,-72,US,US-CT
9955,small_airport,Inter County Airport,40,-80,US,US-PA
9956,small_airport,S & S Avion Ranch Airport,29,-82,US,US-FL
9957,heliport,Florida State Hospital Heliport,31,-85,US,US-FL
9958,small_airport,Tedford Ranch Airport,28,-81,US,US-FL
9959,heliport,Wgcl-Tv Heliport,34,-84,US,US-GA
9960,small_airport,Rising Sun Airport,39,-85,US,US-IN
9961,heliport,Tamms Correctional Center Heliport,37,-89,US,US-IL
9962,small_airport,Timber House Airport,40,-87,US,US-IN
